@id,@type,name,wheelchair,toilets:wheelchair,@lat,@lon
1134118170,way,,yes,,38.3738533,-0.4879765
1134118172,way,,yes,,38.3737820,-0.4879596
1134118173,way,,yes,,38.3734329,-0.4886854
1134118175,way,,yes,,38.3734169,-0.4880678
1134123672,way,,yes,,38.3725873,-0.4874325
1134123676,way,,yes,,38.3724512,-0.4876708
1134123678,way,,yes,,38.3724706,-0.4881375
1135559718,way,,yes,,38.3636413,-0.4846078
1137955659,way,,yes,,38.3648632,-0.4842403
1137955661,way,,no,,38.3649221,-0.4838656
1139595839,way,,yes,,38.3679768,-0.4954400
1139595840,way,,yes,,38.3679152,-0.4954211
1140216661,way,Carrer de l'Escriptor Dámaso Alonso / Calle Escritor Dámaso Alonso,yes,,38.3694077,-0.4866717
1140709656,way,,yes,,38.3676737,-0.4929737
1140709657,way,,yes,,38.3670187,-0.4928762
1147713764,way,Carrefour Express,yes,,38.3379451,-0.5004324
1147713765,way,,yes,,38.3379621,-0.5006472
1147719005,way,Farmacia,yes,,38.3608310,-0.4500242
1160570537,way,,yes,,38.3416222,-0.4786890
1160698291,way,,yes,,38.3468263,-0.4762017
1160698292,way,,yes,,38.3467799,-0.4768808
1160698294,way,,yes,,38.3466550,-0.4768364
1173738258,way,,yes,,38.3670094,-0.4917887
1196878386,way,,yes,,38.3708836,-0.4889961
1197630470,way,,yes,,38.3688087,-0.4860954
1198783740,way,,yes,,38.3711014,-0.4879239
1201500990,way,,yes,,38.3734361,-0.4878779
1218115436,way,,yes,,38.3750147,-0.4789151
1221393787,way,Carrer de Xàtiva / Calle Játiva,no,,38.3791764,-0.5018791
1222408474,way,,yes,,38.3725446,-0.4876945
1222408480,way,,no,,38.3727355,-0.4874198
1222408482,way,,yes,,38.3726194,-0.4869255
1225747566,way,Avinguda del Pintor Gastón Castelló / Avenida del Pintor Gastón Castelló,yes,,38.3772308,-0.4877972
1225747567,way,Avinguda del Pintor Gastón Castelló / Avenida del Pintor Gastón Castelló,yes,,38.3772508,-0.4877284
1225747568,way,Avinguda del Pintor Gastón Castelló / Avenida del Pintor Gastón Castelló,yes,,38.3772146,-0.4878525
1226151710,way,Instituto Bernabeu,yes,,38.3653157,-0.4577547
1226151711,way,Instituto Bernabeu,yes,,38.3653812,-0.4571575
1232839338,way,,yes,,38.3716211,-0.4920484
1233390903,way,,yes,,38.3740064,-0.4913801
1233390904,way,,yes,,38.3739588,-0.4913808
1233390905,way,,yes,,38.3740566,-0.4913793
1233390906,way,,yes,,38.3739620,-0.4913640
1233390908,way,,yes,,38.3740506,-0.4913823
1233859556,way,,yes,,38.3731704,-0.4963690
1233859559,way,,yes,,38.3731497,-0.4965191
1234538432,way,,yes,,38.3721264,-0.4960214
1234538434,way,,yes,,38.3720849,-0.4960174
1234538435,way,,yes,,38.3721036,-0.4960133
1234538436,way,,yes,,38.3721513,-0.4960302
1234538438,way,,yes,,38.3721580,-0.4960370
1235255084,way,,yes,,38.3679327,-0.4956772
1235255085,way,,yes,,38.3678218,-0.4962273
1235255088,way,,yes,,38.3677697,-0.4962106
1235255090,way,,yes,,38.3678688,-0.4956596
1235255091,way,,yes,,38.3679012,-0.4956664
1235255092,way,,yes,,38.3678611,-0.4956530
1235255093,way,,yes,,38.3679489,-0.4956823
1235620094,way,,yes,,38.3658341,-0.4930646
1235620098,way,,yes,,38.3665304,-0.4915336
1235793259,way,Carrer de Sant Pere Poveda / Calle San Pedro Poveda,yes,,38.3666306,-0.4890435
1236405207,way,,yes,,38.3760374,-0.4991731
1236405208,way,,yes,,38.3760054,-0.4993450
1236405209,way,,yes,,38.3760046,-0.4992909
1236405210,way,,yes,,38.3760719,-0.4989843
1236405211,way,,yes,,38.3760553,-0.4990510
1236405212,way,,yes,,38.3760532,-0.4990868
1236405213,way,,yes,,38.3760217,-0.4992608
1236669735,way,Carrer de Bolulla / Calle Bolulla,no,,38.3770982,-0.5006900
1237050960,way,,yes,,38.3748059,-0.4988873
1237050963,way,,yes,,38.3747219,-0.4988579
1237050964,way,Carrer de Valdés Leal / Calle Valdés Leal,yes,,38.3747192,-0.4988546
1237050965,way,Carrer de Valdés Leal / Calle Valdés Leal,yes,,38.3748103,-0.4988866
1237350429,way,,limited,,38.3769011,-0.5014637
1237350430,way,,limited,,38.3768706,-0.5014489
1237350431,way,,limited,,38.3768252,-0.5014322
1237350432,way,,limited,,38.3769064,-0.5014618
1237350434,way,,limited,,38.3768349,-0.5014386
1240754922,way,Carrer del Diputat Joaquín Fuster / Calle Diputado Joaquín Fuster,yes,,38.3709035,-0.4834529
1240754923,way,Carrer del Diputat Joaquín Galant Ruiz / Calle Diputado Joaquín Galant Ruiz,yes,,38.3705255,-0.4835479
1240754924,way,Carrer de la Serra de Cavalls / Calle Sierra de Cavalls,yes,,38.3701793,-0.4833589
1241145538,way,Carrer del Diputat Luis Gamir Casares / Calle Diputado Luis Gamir Casares,yes,,38.3690347,-0.4846991
1241145539,way,,yes,,38.3690744,-0.4837478
1241724688,way,Carrer del Diputat Joaquín Galant Ruiz / Calle Diputado Joaquín Galant Ruiz,yes,,38.3690816,-0.4835619
1243187047,way,,yes,,38.3746441,-0.4808889
1277788458,way,,yes,,38.3424370,-0.4842498
1278804740,way,,yes,,38.3695742,-0.4824548
1287759147,way,Carrer de Camoens / Calle Camoens,no,,38.3536337,-0.4750290
1312868936,way,,yes,,38.3751195,-0.5012734
1312868938,way,,yes,,38.3752467,-0.5013231
1313076050,way,,yes,,38.3766976,-0.5015411
1313076054,way,,yes,,38.3769861,-0.5016376
1316843282,way,,yes,,38.3657600,-0.4930153
1316843283,way,,yes,,38.3657850,-0.4929225
1321561422,way,,yes,,38.3663642,-0.4936909
1321861179,way,,yes,,38.3662088,-0.4949655
1322134001,way,,yes,,38.3664502,-0.4950902
1322158649,way,,yes,,38.3663727,-0.4933641
1323399574,way,,yes,,38.3658034,-0.4946441
1323669858,way,,yes,,38.3659678,-0.4956340
1323669859,way,,yes,,38.3660314,-0.4956550
1352138541,way,,yes,,38.3680245,-0.4855434
1353572544,way,,yes,,38.3698715,-0.4972973
1353572545,way,,yes,,38.3699413,-0.4973182
1353572555,way,,yes,,38.3713975,-0.4975154
1353572557,way,,yes,,38.3713579,-0.4977039
1354007846,way,Avinguda de la Baronia de Polop / Avenida Baronía de Polop,yes,,38.3757310,-0.4984467
1354007847,way,Avinguda de la Baronia de Polop / Avenida Baronía de Polop,yes,,38.3758091,-0.4984951
1355732537,way,,yes,,38.3766798,-0.4899566
1355732539,way,,yes,,38.3767440,-0.4899683
1356454320,way,,yes,,38.3740471,-0.4881593
1356454322,way,,yes,,38.3740657,-0.4880414
1357785288,way,,yes,,38.3733314,-0.4886582
1357785289,way,,yes,,38.3734541,-0.4876367
1358397625,way,,yes,,38.3725281,-0.4878530
1359253330,way,,yes,,38.3721556,-0.4891625
1359253331,way,,yes,,38.3730931,-0.4888498
