id,nombre,accesibilidat_total,e4_servicios_higienicos,lat,lon
1236669735,Carrer de Bolulla / Calle Bolulla,Accesibilidad baja,Accesibilidad baja,38.3770982,-0.50069
1287759147,Carrer de Camoens / Calle Camoens,Accesibilidad baja,Accesibilidad baja,38.3536337,-0.475029
1360410738,,Accesibilidad baja,Accesibilidad baja,38.3709961,-0.487705
1360410742,,Accesibilidad baja,Accesibilidad baja,38.3706437,-0.4877953
1360410747,,Accesibilidad baja,Accesibilidad baja,38.3705451,-0.4883262
1365053695,,Accesibilidad baja,Accesibilidad baja,38.3696901,-0.4824826
304109,La Barraca,Accesibilidad baja,Accesibilidad baja,38.5655963,-0.1672852
206189916,,Accesibilidad media,Accesibilidad baja,38.3665795,-0.430044
263024559,,Accesibilidad media,Accesibilidad baja,38.375933,-0.4893697
674102489,Bazar la Rambla,Accesibilidad media,Accesibilidad baja,38.3476243,-0.4843798
1060431183,Sotelo 10,Accesibilidad media,Accesibilidad baja,38.3436028,-0.4886034
1507145819,Mercado-El Sabio,Accesibilidad media,Accesibilidad baja,38.3475725,-0.4866852
1507145835,"Plaza De Espa?a, 4",Accesibilidad media,Accesibilidad baja,38.3516599,-0.4853625
1507166350,Pintor Amoros,Accesibilidad media,Accesibilidad baja,38.3706336,-0.4715152
1507166369,Pintor Amoros,Accesibilidad media,Accesibilidad baja,38.3706417,-0.471617
1511494314,Mercado-El Sabio,Accesibilidad media,Accesibilidad baja,38.3473787,-0.4872058
1524393282,Cristobal Pardo,Accesibilidad media,Accesibilidad baja,38.3629519,-0.4722109
1524393288,Cristobal Pardo,Accesibilidad media,Accesibilidad baja,38.3627907,-0.4720502
1549254169,Mercado-El Sabio,Accesibilidad media,Accesibilidad baja,38.3474287,-0.4870733
3754995494,,Accesibilidad media,Accesibilidad baja,38.3667862,-0.4303087
3810381221,la Florida,Accesibilidad media,Accesibilidad baja,38.3416548,-0.5139434
3999595412,El Dragon Escamado,Accesibilidad media,Accesibilidad baja,38.351009,-0.4883346
4036838770,,Accesibilidad media,Accesibilidad baja,38.3477366,-0.4862453
4036838773,Estacion-Salamanca,Accesibilidad media,Accesibilidad baja,38.3440763,-0.49474
6004192199,Plaza De Espa?a-Panteon de Quijano,Accesibilidad media,Accesibilidad baja,38.3514,-0.4847416
6533656929,,Accesibilidad media,Accesibilidad baja,38.3463954,-0.4766156
6690349997,Falafelmania Vegetariano Oriental,Accesibilidad media,Accesibilidad baja,38.3323606,-0.5089442
6970432185,Kontiki Alicante-Tabarca,Accesibilidad media,Accesibilidad baja,38.3420311,-0.485014
7658826750,,Accesibilidad media,Accesibilidad baja,38.3760064,-0.4893713
7747337658,,Accesibilidad media,Accesibilidad baja,38.3689685,-0.4941952
7751977384,,Accesibilidad media,Accesibilidad baja,38.375979,-0.489371
7751989387,,Accesibilidad media,Accesibilidad baja,38.3759885,-0.4893711
7778852083,,Accesibilidad media,Accesibilidad baja,38.3852752,-0.491445
7779158474,,Accesibilidad media,Accesibilidad baja,38.3857106,-0.4910458
7792566746,,Accesibilidad media,Accesibilidad baja,38.3748132,-0.4889583
7797433406,,Accesibilidad media,Accesibilidad baja,38.3864355,-0.49056
7829343006,,Accesibilidad media,Accesibilidad baja,38.3686412,-0.4957278
7829343016,,Accesibilidad media,Accesibilidad baja,38.3692405,-0.4960048
7829343030,,Accesibilidad media,Accesibilidad baja,38.3694539,-0.4953083
7829343031,,Accesibilidad media,Accesibilidad baja,38.3695031,-0.4953271
7829343037,,Accesibilidad media,Accesibilidad baja,38.3694009,-0.4952042
7829343038,,Accesibilidad media,Accesibilidad baja,38.3694116,-0.4951431
7829343043,,Accesibilidad media,Accesibilidad baja,38.3689562,-0.4942855
7829343050,,Accesibilidad media,Accesibilidad baja,38.3686218,-0.4958206
7830132286,,Accesibilidad media,Accesibilidad baja,38.3692526,-0.4959487
7869508544,,Accesibilidad media,Accesibilidad baja,38.3720012,-0.4875628
8038188759,,Accesibilidad media,Accesibilidad baja,38.3738855,-0.4861819
8038188761,,Accesibilidad media,Accesibilidad baja,38.3738657,-0.4861807
8038188762,,Accesibilidad media,Accesibilidad baja,38.3738981,-0.4861827
9404617440,,Accesibilidad media,Accesibilidad baja,38.3768394,-0.5014375
11492423916,,Accesibilidad media,Accesibilidad baja,38.3769018,-0.5014603
12241243608,Aires Burger Bar,Accesibilidad media,Accesibilidad baja,38.347669,-0.4850115
